date_utc,twilight,moon,ra_deg,dec_deg,mag,surf_brt,sub_lon,sub_lat,distance_au,elong_deg,elong_dir
2022-Jul-25 00:00,*,,8.54126,2.15029,-2.598,5.353,5.007554,2.899535,4.46896030678575,113.3628,/L
2022-Jul-26 00:00,*,,8.55342,2.15013,-2.606,5.352,155.603503,2.905588,4.45488959656974,114.3068,/L
2022-Jul-27 00:00,*,,8.56256,2.14867,-2.614,5.351,306.202214,2.911511,4.44092420775686,115.2543,/L
2022-Jul-28 00:00,*,m,8.56865,2.14592,-2.622,5.350,96.803672,2.917300,4.42706976591082,116.2053,/L
2022-Jul-29 00:00,*,m,8.57167,2.14187,-2.630,5.349,247.407865,2.922953,4.41333075369732,117.1598,/L
2022-Jul-30 00:00,*,m,8.57165,2.13653,-2.638,5.348,38.014751,2.928468,4.39971239743608,118.1178,/L
2022-Jul-31 00:00,*,m,8.56857,2.12989,-2.646,5.347,188.624320,2.933843,4.38621869842743,119.0793,/L
2022-Aug-01 00:00,*,m,8.56244,2.12197,-2.654,5.346,339.236538,2.939076,4.37285389859702,120.0443,/L
2022-Aug-02 00:00,*,m,8.55326,2.11276,-2.661,5.344,129.851383,2.944164,4.35962301876140,121.0128,/L
2022-Aug-03 00:00,*,m,8.54104,2.10227,-2.669,5.343,280.468830,2.949105,4.34652907967147,121.9847,/L
2022-Aug-04 00:00,*,m,8.52579,2.09050,-2.677,5.342,71.088852,2.953897,4.33357743636427,122.9600,/L
2022-Aug-05 00:00,*,m,8.50752,2.07746,-2.685,5.341,221.711428,2.958537,4.32077220819504,123.9389,/L
2022-Aug-06 00:00,*,m,8.48625,2.06317,-2.693,5.340,12.336500,2.963022,4.30811862851972,124.9211,/L
2022-Aug-07 00:00,*,m,8.46199,2.04763,-2.700,5.338,162.964050,2.967350,4.29562009448009,125.9068,/L
2022-Aug-08 00:00,*,m,8.43477,2.03086,-2.708,5.337,313.594028,2.971518,4.28328063725225,126.8958,/L
2022-Aug-09 00:00,*,m,8.40457,2.01285,-2.716,5.336,104.226406,2.975523,4.27110458988212,127.8883,/L
2022-Aug-10 00:00,*,m,8.37143,1.99362,-2.723,5.335,254.861147,2.979364,4.25909458284161,128.8842,/L
2022-Aug-11 00:00,*,m,8.33532,1.97316,-2.731,5.333,45.498222,2.983038,4.24725525099789,129.8835,/L
2022-Aug-12 00:00,C,,8.29626,1.95148,-2.738,5.332,196.137602,2.986542,4.23559012696091,130.8863,/L
2022-Aug-13 00:00,C,,8.25426,1.92859,-2.746,5.331,346.779231,2.989874,4.22410429301232,131.8925,/L
2022-Aug-14 00:00,C,,8.20934,1.90450,-2.753,5.330,137.423082,2.993032,4.21280071422813,132.9022,/L
2022-Aug-15 00:00,C,,8.16154,1.87922,-2.760,5.328,288.069103,2.996014,4.20168359488813,133.9153,/L
2022-Aug-16 00:00,C,,8.11087,1.85276,-2.767,5.327,78.717262,2.998818,4.19075719174496,134.9319,/L
2022-Aug-17 00:00,C,,8.05737,1.82514,-2.774,5.326,229.367508,3.001443,4.18002465287269,135.9520,/L
2022-Aug-18 00:00,C,,8.00105,1.79637,-2.781,5.324,20.019808,3.003888,4.16949079756423,136.9754,/L
2022-Aug-19 00:00,C,,7.94194,1.76646,-2.788,5.323,170.674115,3.006150,4.15915958799690,138.0023,/L
2022-Aug-20 00:00,C,,7.88008,1.73543,-2.795,5.322,321.330359,3.008228,4.14903672832203,139.0326,/L
2022-Aug-21 00:00,C,,7.81548,1.70329,-2.802,5.320,111.988493,3.010120,4.13912542726578,140.0663,/L
2022-Aug-22 00:00,C,,7.74819,1.67006,-2.808,5.319,262.648445,3.011825,4.12943037390240,141.1033,/L
2022-Aug-23 00:00,C,,7.67824,1.63576,-2.815,5.318,53.310163,3.013342,4.11995576544095,142.1435,/L
2022-Aug-24 00:00,C,,7.60567,1.60040,-2.821,5.316,203.973571,3.014669,4.11070506486950,143.1870,/L
2022-Aug-25 00:00,C,,7.53050,1.56399,-2.828,5.315,354.638617,3.015806,4.10168275905268,144.2336,/L
2022-Aug-26 00:00,C,,7.45278,1.52657,-2.834,5.314,145.305233,3.016751,4.09289266344465,145.2833,/L
2022-Aug-27 00:00,C,,7.37256,1.48814,-2.840,5.313,295.973330,3.017502,4.08434030807015,146.3361,/L
2022-Aug-28 00:00,C,m,7.28990,1.44874,-2.845,5.312,86.642835,3.018059,4.07602844950789,147.3918,/L
