date_utc,twilight,moon,ra_deg,dec_deg,mag,surf_brt,sub_lon,sub_lat,distance_au,elong_deg,elong_dir
2029-Mar-03 00:00,A,,35.60244,11.80683,0.384,6.269,222.367178,-21.895455,9.72879263413428,54.5468,/T
2029-Mar-04 00:00,A,,35.69053,11.84009,0.385,6.266,313.007824,-21.935719,9.74223167778462,53.6378,/T
2029-Mar-05 00:00,A,,35.77979,11.87367,0.386,6.264,43.647984,-21.976330,9.75551602993592,52.7305,/T
2029-Mar-06 00:00,A,,35.87023,11.90754,0.386,6.262,134.287688,-22.017279,9.76864263867122,51.8248,/T
2029-Mar-07 00:00,A,,35.96180,11.94171,0.387,6.259,224.926967,-22.058555,9.78160833840309,50.9207,/T
2029-Mar-08 00:00,A,,36.05450,11.97617,0.388,6.257,315.565851,-22.100150,9.79441003336227,50.0181,/T
2029-Mar-09 00:00,A,,36.14830,12.01090,0.388,6.255,46.204371,-22.142051,9.80704469734410,49.1171,/T
2029-Mar-10 00:00,A,,36.24318,12.04590,0.388,6.252,136.842558,-22.184250,9.81950929687202,48.2177,/T
2029-Mar-11 00:00,A,,36.33911,12.08116,0.389,6.250,227.480443,-22.226735,9.83180085252345,47.3198,/T
2029-Mar-12 00:00,A,,36.43609,12.11666,0.389,6.247,318.118058,-22.269496,9.84391637631557,46.4234,/T
2029-Mar-13 00:00,A,,36.53408,12.15240,0.389,6.245,48.755433,-22.312522,9.85585293282238,45.5286,/T
2029-Mar-14 00:00,N,,36.63309,12.18836,0.389,6.242,139.392600,-22.355802,9.86760766327220,44.6354,/T
2029-Mar-15 00:00,N,,36.73308,12.22455,0.389,6.240,230.029590,-22.399326,9.87917770476700,43.7437,/T
2029-Mar-16 00:00,N,,36.83406,12.26095,0.389,6.237,320.666437,-22.443083,9.89056020649723,42.8535,/T
2029-Mar-17 00:00,N,m,36.93600,12.29756,0.389,6.234,51.303170,-22.487062,9.90175248185739,41.9648,/T
2029-Mar-18 00:00,N,m,37.03889,12.33437,0.388,6.232,141.939824,-22.531254,9.91275189875751,41.0777,/T
2029-Mar-19 00:00,N,m,37.14271,12.37137,0.388,6.229,232.576429,-22.575648,9.92355600285978,40.1922,/T
2029-Mar-20 00:00,N,m,37.24744,12.40856,0.388,6.226,323.213016,-22.620233,9.93416240616070,39.3081,/T
2029-Mar-21 00:00,N,m,37.35307,12.44593,0.387,6.224,53.849618,-22.664999,9.94456883700033,38.4256,/T
2029-Mar-22 00:00,N,m,37.45956,12.48348,0.387,6.221,144.486265,-22.709936,9.95477322462444,37.5446,/T
2029-Mar-23 00:00,N,m,37.56689,12.52119,0.386,6.218,235.122985,-22.755033,9.96477366908841,36.6651,/T
